0,1,2,3,4,5,6,7,8,9,10,11,12,13
36.227,11.419,23.645,36.152,59.519,32.7,18.0,10.3,64.7,35.4,87.28,24.81,20.77,66.33
42.654,21.461,21.193,41.978,56.858,33.2,22.9,9.4,59.5,40.1,81.57,21.26,23.03,49.69
42.445,21.963,20.482,50.48,46.765,33.5,24.2,9.3,60.7,36.3,82.37,21.51,21.53,48.26
38.756,23.881,14.875,66.397,31.698,34.3,24.9,9.4,59.1,37.3,81.7,16.63,16.15,38.38
41.648,23.4,18.248,57.739,40.107,36.1,23.8,11.8,52.5,39.7,76.81,18.32,17.41,43.81
42.327,23.376,18.06,54.848,42.687,36.8,26.4,10.4,53.3,44.7,77.96,18.95,19.19,42.67
33.6,10.541,21.963,48.044,46.473,28.0,14.2,13.3,46.9,42.8,71.062,23.06,20.25,65.86
32.975,16.773,15.893,67.501,24.493,27.5,17.2,10.2,66.6,28.2,84.021,15.12,12.4,48.2
38.728,21.724,17.004,62.652,30.489,33.3,22.8,10.4,58.2,32.8,85.483,16.89,18.39,43.91
34.308,21.581,12.7,41.309,50.158,32.5,22.9,9.4,63.5,31.7,82.575,13.04,13.06,37.05
38.756,23.881,14.875,39.642,58.153,33.7,25.4,7.9,63.2,32.7,79.808,16.63,16.15,38.38
37.949,22.274,15.289,56.005,39.732,35.0,24.3,9.6,60.0,33.1,79.513,15.67,14.36,40.7
35.155,18.224,16.931,52.518,41.795,28.8,20.3,8.5,56.8,38.1,80.608,18.22,18.81,48.16
33.6,10.541,21.963,48.044,46.473,28.0,14.2,13.3,46.9,42.8,71.062,23.06,20.25,65.86
32.975,16.773,15.893,67.501,24.493,27.5,17.2,10.2,66.6,28.2,84.021,15.12,12.4,48.2
35.155,18.224,16.931,52.518,41.795,28.8,20.3,8.5,56.8,38.1,80.608,18.22,18.81,48.16
33.6,10.541,21.963,48.044,46.473,28.0,14.2,13.3,46.9,42.8,71.062,23.06,20.25,65.86
32.975,16.773,15.893,67.501,24.493,27.5,17.2,10.2,66.6,28.2,84.021,15.12,12.4,48.2
38.728,21.724,17.004,62.652,30.489,33.3,22.8,10.4,58.2,32.8,85.483,16.89,18.39,43.91
34.308,21.581,12.7,41.309,50.158,32.5,22.9,9.4,63.5,31.7,82.575,13.04,13.06,37.05
39.886,21.891,17.875,57.974,39.897,33.2,23.1,10.1,62.3,32.8,79.967,18.0,17.98,44.82
